Text Title	Text Number	Sentence Number	Token Number	Lemma	Text	POS Tag	Dependency
Lit_MagicMountain_ru.txt	1	1	1	волшебный	Волшебная	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	2	гора	гора	NOUN	nsubj
Lit_MagicMountain_ru.txt	1	1	3	—	—	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	4	вступление	Вступление	PROPN	ROOT
Lit_MagicMountain_ru.txt	1	1	5	

	

	SPACE	dep
Lit_MagicMountain_ru.txt	1	1	6	история	История	PROPN	nmod
Lit_MagicMountain_ru.txt	1	1	7	ганс	Ганса	PROPN	flat:name
Lit_MagicMountain_ru.txt	1	1	8	касторпа	Касторпа	PROPN	flat:name
Lit_MagicMountain_ru.txt	1	1	9	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	10	которую	которую	PRON	obj
Lit_MagicMountain_ru.txt	1	1	11	мы	мы	PRON	nsubj
Lit_MagicMountain_ru.txt	1	1	12	хотеть	хотим	VERB	acl:relcl
Lit_MagicMountain_ru.txt	1	1	13	здесь	здесь	ADV	advmod
Lit_MagicMountain_ru.txt	1	1	14	рассказать	рассказать	VERB	xcomp
Lit_MagicMountain_ru.txt	1	1	15	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	16	—	—	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	17	отнюдь	отнюдь	ADV	advmod
Lit_MagicMountain_ru.txt	1	1	18	не	не	PART	advmod
Lit_MagicMountain_ru.txt	1	1	19	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	1	20	ради	ради	ADP	case
Lit_MagicMountain_ru.txt	1	1	21	него	него	PRON	nmod
Lit_MagicMountain_ru.txt	1	1	22	(	(	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	23	поскольку	поскольку	SCONJ	mark
Lit_MagicMountain_ru.txt	1	1	24	читатель	читатель	NOUN	nsubj
Lit_MagicMountain_ru.txt	1	1	25	в	в	ADP	case
Lit_MagicMountain_ru.txt	1	1	26	он	его	DET	det
Lit_MagicMountain_ru.txt	1	1	27	лицо	лице	NOUN	nmod
Lit_MagicMountain_ru.txt	1	1	28	познакомиться	познакомится	VERB	parataxis
Lit_MagicMountain_ru.txt	1	1	29	лишь	лишь	PART	advmod
Lit_MagicMountain_ru.txt	1	1	30	с	с	ADP	case
Lit_MagicMountain_ru.txt	1	1	31	самым	самым	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	32	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	1	33	обыкновенный	обыкновенным	ADJ	obl
Lit_MagicMountain_ru.txt	1	1	34	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	35	хотя	хотя	SCONJ	mark
Lit_MagicMountain_ru.txt	1	1	36	и	и	PART	advmod
Lit_MagicMountain_ru.txt	1	1	37	приятный	приятным	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	38	молодой	молодым	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	39	человек	человеком	NOUN	advcl
Lit_MagicMountain_ru.txt	1	1	40	)	)	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	41	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	42	—	—	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	43	излагаться	излагается	VERB	parataxis
Lit_MagicMountain_ru.txt	1	1	44	ради	ради	ADP	case
Lit_MagicMountain_ru.txt	1	1	45	самой	самой	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	46	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	1	47	этот	этой	DET	det
Lit_MagicMountain_ru.txt	1	1	48	история	истории	NOUN	obl
Lit_MagicMountain_ru.txt	1	1	49	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	50	ибо	ибо	SCONJ	mark
Lit_MagicMountain_ru.txt	1	1	51	она	она	PRON	nsubj
Lit_MagicMountain_ru.txt	1	1	52	казаться	кажется	VERB	advcl
Lit_MagicMountain_ru.txt	1	1	53	нам	нам	PRON	iobj
Lit_MagicMountain_ru.txt	1	1	54	в	в	ADP	case
Lit_MagicMountain_ru.txt	1	1	55	высокий	высокой	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	56	степень	степени	NOUN	obl
Lit_MagicMountain_ru.txt	1	1	57	достойный	достойной	ADJ	amod
Lit_MagicMountain_ru.txt	1	1	58	описание	описания	NOUN	nmod
Lit_MagicMountain_ru.txt	1	1	59	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	1	60	(	(	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	61	причём	причем	CCONJ	parataxis
Lit_MagicMountain_ru.txt	1	1	62	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	63	к	к	ADP	case
Lit_MagicMountain_ru.txt	1	1	64	честь	чести	NOUN	obl
Lit_MagicMountain_ru.txt	1	1	65	ганс	Ганса	PROPN	nmod
Lit_MagicMountain_ru.txt	1	1	66	касторпа	Касторпа	PROPN	flat:name
Lit_MagicMountain_ru.txt	1	1	67	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	68	следовать	следует	VERB	parataxis
Lit_MagicMountain_ru.txt	1	1	69	отметить	отметить	VERB	csubj
Lit_MagicMountain_ru.txt	1	1	70	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	71	что	что	SCONJ	mark
Lit_MagicMountain_ru.txt	1	1	72	это	это	PRON	nsubj
Lit_MagicMountain_ru.txt	1	1	73	именно	именно	PART	advmod
Lit_MagicMountain_ru.txt	1	1	74	он	его	DET	det
Lit_MagicMountain_ru.txt	1	1	75	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	1	76	история	история	NOUN	ccomp
Lit_MagicMountain_ru.txt	1	1	77	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	78	а	а	CCONJ	cc
Lit_MagicMountain_ru.txt	1	1	79	ведь	ведь	PART	advmod
Lit_MagicMountain_ru.txt	1	1	80	не	не	PART	advmod
Lit_MagicMountain_ru.txt	1	1	81	с	с	ADP	case
Lit_MagicMountain_ru.txt	1	1	82	любой	любым	DET	det
Lit_MagicMountain_ru.txt	1	1	83	и	и	CCONJ	cc
Lit_MagicMountain_ru.txt	1	1	84	каждый	каждым	DET	det
Lit_MagicMountain_ru.txt	1	1	85	человек	человеком	NOUN	obl
Lit_MagicMountain_ru.txt	1	1	86	мочь	может	VERB	conj
Lit_MagicMountain_ru.txt	1	1	87	случиться	случиться	VERB	xcomp
Lit_MagicMountain_ru.txt	1	1	88	история	история	NOUN	nsubj
Lit_MagicMountain_ru.txt	1	1	89	)	)	PUNCT	punct
Lit_MagicMountain_ru.txt	1	1	90	.	.	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	1	так	Так	ADV	parataxis
Lit_MagicMountain_ru.txt	1	2	2	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	2	3	вот	вот	PART	advmod
Lit_MagicMountain_ru.txt	1	2	4	:	:	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	5	этот	эта	DET	det
Lit_MagicMountain_ru.txt	1	2	6	история	история	NOUN	nsubj
Lit_MagicMountain_ru.txt	1	2	7	произойти	произошла	VERB	ROOT
Lit_MagicMountain_ru.txt	1	2	8	много	много	ADV	nummod:gov
Lit_MagicMountain_ru.txt	1	2	9	время	времени	NOUN	obl
Lit_MagicMountain_ru.txt	1	2	10	назад	назад	ADV	advmod
Lit_MagicMountain_ru.txt	1	2	11	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	12	она	она	PRON	nsubj
Lit_MagicMountain_ru.txt	1	2	13	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	14	так	так	ADV	advmod
Lit_MagicMountain_ru.txt	1	2	15	сказать	сказать	VERB	parataxis
Lit_MagicMountain_ru.txt	1	2	16	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	17	уже	уже	ADV	advmod
Lit_MagicMountain_ru.txt	1	2	18	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	2	19	покрыться	покрылась	VERB	conj
Lit_MagicMountain_ru.txt	1	2	20	благородный	благородной	ADJ	amod
Lit_MagicMountain_ru.txt	1	2	21	ржавчиной	ржавчиной	VERB	amod
Lit_MagicMountain_ru.txt	1	2	22	старина	старины	NOUN	iobj
Lit_MagicMountain_ru.txt	1	2	23	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	24	и	и	CCONJ	cc
Lit_MagicMountain_ru.txt	1	2	25	повествование	повествование	NOUN	nsubj
Lit_MagicMountain_ru.txt	1	2	26	о	о	ADP	case
Lit_MagicMountain_ru.txt	1	2	27	ней	ней	PRON	nmod
Lit_MagicMountain_ru.txt	1	2	28	должный	должно	ADJ	conj
Lit_MagicMountain_ru.txt	1	2	29	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	30	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	2	31	разумеется	разумеется	ADV	parataxis
Lit_MagicMountain_ru.txt	1	2	32	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	2	33	вестись	вестись	VERB	xcomp
Lit_MagicMountain_ru.txt	1	2	34	в	в	ADP	case
Lit_MagicMountain_ru.txt	1	2	35	форма	формах	NOUN	obl
Lit_MagicMountain_ru.txt	1	2	36	давно	давно	ADV	advmod
Lit_MagicMountain_ru.txt	1	2	37	пройти	прошедшего	VERB	acl
Lit_MagicMountain_ru.txt	1	2	38	.	.	PUNCT	punct
Lit_MagicMountain_ru.txt	1	3	1	

	

	SPACE	dep
Lit_MagicMountain_ru.txt	1	3	2	Для	Для	ADP	case
Lit_MagicMountain_ru.txt	1	3	3	история	истории	NOUN	nmod
Lit_MagicMountain_ru.txt	1	3	4	это	это	PRON	nsubj
Lit_MagicMountain_ru.txt	1	3	5	не	не	PART	advmod
Lit_MagicMountain_ru.txt	1	3	6	такой	такой	DET	det
Lit_MagicMountain_ru.txt	1	3	7	уж	уж	PART	advmod
Lit_MagicMountain_ru.txt	1	3	8	большой	большой	ADJ	amod
Lit_MagicMountain_ru.txt	1	3	9	недостаток	недостаток	NOUN	ROOT
Lit_MagicMountain_ru.txt	1	3	10	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	3	11	скорее	скорее	ADV	advmod
Lit_MagicMountain_ru.txt	1	3	12	даже	даже	PART	advmod
Lit_MagicMountain_ru.txt	1	3	13	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	3	14	преимущество	преимущество	NOUN	parataxis
Lit_MagicMountain_ru.txt	1	3	15	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	3	16	ибо	ибо	SCONJ	mark
Lit_MagicMountain_ru.txt	1	3	17	любой	любая	DET	det
Lit_MagicMountain_ru.txt	1	3	18	история	история	NOUN	nsubj
Lit_MagicMountain_ru.txt	1	3	19	должный	должна	ADJ	advcl
Lit_MagicMountain_ru.txt	1	3	20	быть	быть	AUX	cop
Lit_MagicMountain_ru.txt	1	3	21	прошлый	прошлым	ADJ	xcomp
Lit_MagicMountain_ru.txt	1	3	22	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	3	23	и	и	CCONJ	cc
Lit_MagicMountain_ru.txt	1	3	24	чем	чем	SCONJ	obl
Lit_MagicMountain_ru.txt	1	3	25	более	более	ADV	advmod
Lit_MagicMountain_ru.txt	1	3	26	она	она	PRON	nsubj
Lit_MagicMountain_ru.txt	1	3	27	—	—	PUNCT	punct
Lit_MagicMountain_ru.txt	1	3	28	
	
	SPACE	dep
Lit_MagicMountain_ru.txt	1	3	29	прошлое	прошлое	NOUN	conj
Lit_MagicMountain_ru.txt	1	3	30	,	,	PUNCT	punct
Lit_MagicMountain_ru.txt	1	3	31	тем	тем	SCONJ	mark
Lit_MagicMountain_ru.txt	1	3	32	хороший	лучше	ADJ	advcl
Lit_MagicMountain_ru.txt	1	3	33	и	и	CCONJ	cc
Lit_MagicMountain_ru.txt	1	3	34	для	для	ADP	case
Lit_MagicMountain_ru.txt	1	3	35	она	ее	DET	det
Lit_MagicMountain_ru.txt	1	3	36	особенность	особенностей	NOUN	obl
