Text Title	Sentence	Text Number	Sentence Number	Token Number	Lemma	Text	POS Tag	Dependency
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	0	Harry	Harry	PROPN	pnc
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	1	Potter	Potter	PROPN	ROOT
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	2	und	und	CCONJ	cd
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	3	der	der	DET	nk
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	4	Stein	Stein	NOUN	cj
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	5	der	der	DET	nk
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	6	weise	Weisen	NOUN	ag
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	7	--	-	PUNCT	punct
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	8	Kapitel	Kapitel	NOUN	par
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	9	1	1	NUM	nk
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	10	--	:	PUNCT	punct
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	11	ein	Ein	DET	nk
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	12	Junge	Junge	NOUN	sb
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	13	überleben	überlebt	VERB	ROOT
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	15	Mr	Mr	PROPN	sb
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	16	und	und	CCONJ	cd
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	17	Mrs	Mrs	PROPN	pnc
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	18	Dursley	Dursley	PROPN	cj
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	19	in	im	ADP	mnr
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	20	Ligusterweg	Ligusterweg	NOUN	nk
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	21	Nummer	Nummer	NOUN	nk
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	22	4	4	NUM	nk
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	23	sein	waren	AUX	cj
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	24	stolz	stolz	ADV	pd
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	25	darauf	darauf	ADV	mo
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	26	--	PUNCT	punct
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	27	ganz	ganz	ADV	mo
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	28	und	und	CCONJ	cd
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	29	gar	gar	ADV	mo
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	30	normal	normal	ADV	cj
