Text Title	Sentence	Text Number	Sentence Number	Token Number	Lemma	Text	POS Tag	Dependency	Surprisal(log prob)	offset
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	0	Harry	Harry	PROPN	pnc	0.0035830840934067965	(0, 5)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	1	Potter	Potter	PROPN	ROOT	0.0007435894221998751	(6, 9)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	2	und	und	CCONJ	cd	0.00037722624256275594	(9, 12)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	3	der	der	DET	nk	0.24409420788288116	(13, 16)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	4	Stein	Stein	NOUN	cj	0.05668087303638458	(17, 20)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	5	der	der	DET	nk	0.020622361451387405	(21, 26)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	6	weise	Weisen	NOUN	ag	0.003819552715867758	(27, 30)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	7	--	-	PUNCT	punct	0.026858802884817123	(31, 36)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	8	Kapitel	Kapitel	NOUN	par	1.576399326324463	(36, 37)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	9	1	1	NUM	nk	20.07752799987793	(38, 39)
Lit_HarryPotter_de.txt	Harry Potter und der Stein der Weisen - Kapitel 1:	0	0	10	--	:	PUNCT	punct	7.004275798797607	(40, 47)
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	11	ein	Ein	DET	nk	5.488031387329102	(41, 44)
Lit_HarryPotter_de.txt	Ein Junge überlebt Mr und Mrs Dursley im Ligusterweg Nummer 4 waren stolz darauf,  ganz und gar normal zu sein,  sehr stolz sogar.	0	0	12	Junge	Junge	NOUN	sb	5.701708793640137	(44, 49)
